"""","1. 産業(百万円)","1. 産業_農 業(百万円)","1. 産業_林 業(百万円)","1. 産業_水産業(百万円)","1. 産業_鉱 業(百万円)","1. 産業_製造業(百万円)","1. 産業_建設業(百万円)","1. 産業_電気･ガス水道業(百万円)","1. 産業_卸売・小売業(百万円)","1. 産業_金融・保険業(百万円)"
"県 計","3081878.0","63689.0","1892.0","7407.0","1548.0","943890.0","247814.0","70038.0","351351.0","138709.0"
"","","","","","","","","","",""
"  和歌山市","1500278.0","5320.0","48.0","236.0","0.0","570788.0","76349.0","35149.0","169086.0","76943.0"
"  海 南 市","209512.0","4437.0","15.0","83.0","107.0","96992.0","8336.0","3247.0","17037.0","4650.0"
"  橋 本 市","119232.0","2669.0","50.0","0.0","17.0","10380.0","15468.0","3708.0","14664.0","6940.0"
"  有 田 市","145555.0","3359.0","5.0","751.0","11.0","90769.0","4015.0","1183.0","7865.0","3162.0"
"  御 坊 市","77058.0","2359.0","11.0","465.0","22.0","10940.0","5902.0","2711.0","12349.0","4921.0"
"  田 辺 市","197664.0","5458.0","526.0","1091.0","167.0","17359.0","23646.0","5343.0","37438.0","11876.0"
"  新 宮 市","88489.0","327.0","142.0","90.0","390.0","4699.0","9713.0","4911.0","17891.0","5856.0"
"  紀の川市","156366.0","10734.0","44.0","54.0","153.0","47318.0","17628.0","2443.0","15799.0","4042.0"
"  岩 出 市","76064.0","748.0","10.0","18.0","555.0","5238.0","7509.0","850.0","13256.0","4959.0"
"","","","","","","","","","",""
"  紀美野町","19239.0","1484.0","35.0","35.0","0.0","4151.0","1851.0","275.0","1072.0","620.0"
"","","","","","","","","","",""
"  かつらぎ町","49092.0","3607.0","43.0","0.0","39.0","14366.0","8522.0","643.0","3089.0","1246.0"
"  九度山町","7125.0","674.0","16.0","0.0","0.0","396.0","871.0","107.0","391.0","265.0"
"  高 野 町","10651.0","77.0","51.0","0.0","0.0","691.0","1846.0","98.0","936.0","412.0"
"","","","","","","","","","",""
"  湯 浅 町","27074.0","1407.0","4.0","174.0","0.0","2275.0","1594.0","627.0","4591.0","2250.0"
"  広 川 町","12320.0","1475.0","24.0","104.0","0.0","2095.0","1818.0","80.0","727.0","244.0"
"  有田川町","70388.0","7133.0","126.0","39.0","0.0","10518.0","10689.0","803.0","8830.0","1581.0"
"","","","","","","","","","",""
"  美 浜 町","12693.0","332.0","3.0","47.0","0.0","2183.0","1295.0","190.0","480.0","279.0"
"  日 高 町","10568.0","786.0","13.0","444.0","0.0","1605.0","1061.0","382.0","759.0","251.0"
"  由 良 町","16616.0","481.0","6.0","184.0","2.0","7824.0","1415.0","196.0","988.0","400.0"
"  印 南 町","21277.0","2045.0","40.0","44.0","0.0","6971.0","4049.0","184.0","1301.0","483.0"
"  みなべ町","36670.0","4406.0","56.0","631.0","0.0","10516.0","5330.0","249.0","3057.0","926.0"
"  日高川町","23912.0","1749.0","180.0","37.0","30.0","5965.0","7625.0","360.0","794.0","440.0"
"","","","","","","","","","",""
"  白 浜 町","56229.0","728.0","72.0","246.0","0.0","3873.0","7331.0","848.0","4866.0","1186.0"
"  上富田町","35395.0","1003.0","35.0","35.0","0.0","11592.0","4117.0","1418.0","3909.0","708.0"
"  すさみ町","9565.0","187.0","67.0","110.0","0.0","1758.0","2003.0","156.0","664.0","320.0"
"","","","","","","","","","",""
"  那智勝浦町","42049.0","317.0","87.0","392.0","0.0","1599.0","9055.0","547.0","4156.0","1373.0"
"  太 地 町","6293.0","27.0","6.0","705.0","0.0","30.0","2583.0","74.0","359.0","170.0"
"  古座川町","4088.0","144.0","103.0","18.0","54.0","134.0","1155.0","37.0","229.0","194.0"
"  北 山 村","3422.0","17.0","15.0","0.0","0.0","100.0","390.0","2392.0","48.0","46.0"
"  串 本 町","36995.0","201.0","61.0","1372.0","0.0","767.0","4649.0","828.0","4720.0","1966.0"
